QTPy channel,Samples averaged,ADC code,QTPy identifier
AI0,1,32846.0,24ec4a1dc2b8
AI1,1,32807.0,24ec4a1dc2b8
AI2,1,32271.0,24ec4a1dc2b8
AI3,1,32767.0,24ec4a1dc2b8
AI4,1,32032.0,24ec4a1dc2b8
AI5,1,32489.0,24ec4a1dc2b8
AI6,1,32588.0,24ec4a1dc2b8
AI7,1,32926.0,24ec4a1dc2b8
AI0,10,32780.9,24ec4a1dc2b8
AI1,10,32840.5,24ec4a1dc2b8
AI2,10,32383.7,24ec4a1dc2b8
AI3,10,32514.9,24ec4a1dc2b8
AI4,10,32508.9,24ec4a1dc2b8
AI5,10,32354.0,24ec4a1dc2b8
AI6,10,32504.8,24ec4a1dc2b8
AI7,10,32866.3,24ec4a1dc2b8
AI0,20,32799.7,24ec4a1dc2b8
AI1,20,32813.5,24ec4a1dc2b8
AI2,20,32476.1,24ec4a1dc2b8
AI3,20,32468.2,24ec4a1dc2b8
AI4,20,32385.7,24ec4a1dc2b8
AI5,20,32463.2,24ec4a1dc2b8
AI6,20,32448.3,24ec4a1dc2b8
AI7,20,32817.5,24ec4a1dc2b8
AI0,50,32794.8,24ec4a1dc2b8
AI1,50,32774.1,24ec4a1dc2b8
AI2,50,32453.3,24ec4a1dc2b8
AI3,50,32450.5,24ec4a1dc2b8
AI4,50,32450.5,24ec4a1dc2b8
AI5,50,32415.6,24ec4a1dc2b8
AI6,50,32400.8,24ec4a1dc2b8
AI7,50,32831.7,24ec4a1dc2b8
AI0,100,32802.1,24ec4a1dc2b8
AI1,100,32811.7,24ec4a1dc2b8
AI2,100,32457.3,24ec4a1dc2b8
AI3,100,32405.8,24ec4a1dc2b8
AI4,100,32453.7,24ec4a1dc2b8
AI5,100,32430.4,24ec4a1dc2b8
AI6,100,32456.0,24ec4a1dc2b8
AI7,100,32810.8,24ec4a1dc2b8
AI0,200,32808.7,24ec4a1dc2b8
AI1,200,32813.6,24ec4a1dc2b8
AI2,200,32426.3,24ec4a1dc2b8
AI3,200,32455.1,24ec4a1dc2b8
AI4,200,32467.9,24ec4a1dc2b8
AI5,200,32414.7,24ec4a1dc2b8
AI6,200,32416.2,24ec4a1dc2b8
AI7,200,32804.4,24ec4a1dc2b8
AI0,500,32821.0,24ec4a1dc2b8
AI1,500,32819.2,24ec4a1dc2b8
AI2,500,32445.0,24ec4a1dc2b8
AI3,500,32458.9,24ec4a1dc2b8
AI4,500,32437.2,24ec4a1dc2b8
AI5,500,32452.9,24ec4a1dc2b8
AI6,500,32444.4,24ec4a1dc2b8
AI7,500,32819.3,24ec4a1dc2b8
AI0,1000,32814.0,24ec4a1dc2b8
AI1,1000,32812.6,24ec4a1dc2b8
AI2,1000,32449.7,24ec4a1dc2b8
AI3,1000,32454.4,24ec4a1dc2b8
AI4,1000,32445.6,24ec4a1dc2b8
AI5,1000,32459.8,24ec4a1dc2b8
