QTPy channel,Samples averaged,ADC code,QTPy identifier
AI0,1,2800.0,24ec4a1dc2b8
AI1,1,3058.0,24ec4a1dc2b8
AI2,1,2601.0,24ec4a1dc2b8
AI3,1,2522.0,24ec4a1dc2b8
AI4,1,2800.0,24ec4a1dc2b8
AI5,1,2621.0,24ec4a1dc2b8
AI6,1,2641.0,24ec4a1dc2b8
AI7,1,2700.0,24ec4a1dc2b8
AI0,10,2901.0,24ec4a1dc2b8
AI1,10,2962.6,24ec4a1dc2b8
AI2,10,2517.7,24ec4a1dc2b8
AI3,10,2549.4,24ec4a1dc2b8
AI4,10,2632.9,24ec4a1dc2b8
AI5,10,2650.7,24ec4a1dc2b8
AI6,10,2511.7,24ec4a1dc2b8
AI7,10,2837.3,24ec4a1dc2b8
AI0,20,2848.4,24ec4a1dc2b8
AI1,20,2861.15,24ec4a1dc2b8
AI2,20,2569.15,24ec4a1dc2b8
AI3,20,2617.9,24ec4a1dc2b8
AI4,20,2604.9,24ec4a1dc2b8
AI5,20,2503.7,24ec4a1dc2b8
AI6,20,2484.8,24ec4a1dc2b8
AI7,20,2880.2,24ec4a1dc2b8
AI0,50,2933.44,24ec4a1dc2b8
AI1,50,2905.36,24ec4a1dc2b8
AI2,50,2494.62,24ec4a1dc2b8
AI3,50,2565.68,24ec4a1dc2b8
AI4,50,2552.58,24ec4a1dc2b8
AI5,50,2606.92,24ec4a1dc2b8
AI6,50,2579.98,24ec4a1dc2b8
AI7,50,2875.12,24ec4a1dc2b8
AI0,100,2907.71,24ec4a1dc2b8
AI1,100,2908.07,24ec4a1dc2b8
AI2,100,2558.08,24ec4a1dc2b8
AI3,100,2564.64,24ec4a1dc2b8
AI4,100,2566.67,24ec4a1dc2b8
AI5,100,2549.62,24ec4a1dc2b8
AI6,100,2580.39,24ec4a1dc2b8
AI7,100,2870.75,24ec4a1dc2b8
AI0,200,2903.22,24ec4a1dc2b8
AI1,200,2913.55,24ec4a1dc2b8
AI2,200,2553.14,24ec4a1dc2b8
AI3,200,2547.29,24ec4a1dc2b8
AI4,200,2562.4,24ec4a1dc2b8
AI5,200,2588.33,24ec4a1dc2b8
AI6,200,2572.24,24ec4a1dc2b8
AI7,200,2893.02,24ec4a1dc2b8
AI0,500,2900.15,24ec4a1dc2b8
AI1,500,2891.32,24ec4a1dc2b8
AI2,500,2560.23,24ec4a1dc2b8
AI3,500,2559.12,24ec4a1dc2b8
AI4,500,2554.26,24ec4a1dc2b8
AI5,500,2563.72,24ec4a1dc2b8
AI6,500,2572.97,24ec4a1dc2b8
AI7,500,2891.06,24ec4a1dc2b8
AI0,1000,2891.31,24ec4a1dc2b8
AI1,1000,2896.14,24ec4a1dc2b8
AI2,1000,2557.85,24ec4a1dc2b8
AI3,1000,2560.88,24ec4a1dc2b8
AI4,1000,2568.43,24ec4a1dc2b8
AI5,1000,2563.44,24ec4a1dc2b8
AI6,1000,2561.21,24ec4a1dc2b8
AI7,1000,2890.36,24ec4a1dc2b8
AI0,2000,2897.13,24ec4a1dc2b8
AI1,2000,2894.52,24ec4a1dc2b8
AI2,2000,2559.41,24ec4a1dc2b8
AI3,2000,2566.2,24ec4a1dc2b8
AI4,2000,2574.17,24ec4a1dc2b8
AI5,2000,2578.89,24ec4a1dc2b8
AI6,2000,2569.88,24ec4a1dc2b8
AI7,2000,2891.61,24ec4a1dc2b8
AI0,1,2899.0,24ec4a1dc2b8
AI1,1,2819.0,24ec4a1dc2b8
AI2,1,2383.0,24ec4a1dc2b8
AI3,1,2541.0,24ec4a1dc2b8
AI4,1,2581.0,24ec4a1dc2b8
AI5,1,2601.0,24ec4a1dc2b8
AI6,1,2144.0,24ec4a1dc2b8
AI7,1,3137.0,24ec4a1dc2b8
AI0,10,2787.5,24ec4a1dc2b8
AI1,10,2948.6,24ec4a1dc2b8
AI2,10,2531.6,24ec4a1dc2b8
AI3,10,2609.0,24ec4a1dc2b8
AI4,10,2468.0,24ec4a1dc2b8
AI5,10,2493.8,24ec4a1dc2b8
AI6,10,2575.3,24ec4a1dc2b8
AI7,10,2865.2,24ec4a1dc2b8
AI0,20,2807.55,24ec4a1dc2b8
AI1,20,2884.9,24ec4a1dc2b8
AI2,20,2637.85,24ec4a1dc2b8
AI3,20,2564.3,24ec4a1dc2b8
AI4,20,2488.85,24ec4a1dc2b8
AI5,20,2494.65,24ec4a1dc2b8
AI6,20,2594.0,24ec4a1dc2b8
AI7,20,2936.65,24ec4a1dc2b8
AI0,50,2897.4,24ec4a1dc2b8
AI1,50,2873.9,24ec4a1dc2b8
AI2,50,2550.64,24ec4a1dc2b8
AI3,50,2573.22,24ec4a1dc2b8
AI4,50,2544.18,24ec4a1dc2b8
AI5,50,2541.9,24ec4a1dc2b8
AI6,50,2536.34,24ec4a1dc2b8
AI7,50,2908.46,24ec4a1dc2b8
AI0,100,2877.69,24ec4a1dc2b8
AI1,100,2873.32,24ec4a1dc2b8
AI2,100,2573.63,24ec4a1dc2b8
AI3,100,2543.9,24ec4a1dc2b8
AI4,100,2558.57,24ec4a1dc2b8
AI5,100,2575.22,24ec4a1dc2b8
AI6,100,2608.59,24ec4a1dc2b8
AI7,100,2876.32,24ec4a1dc2b8
AI0,200,2899.67,24ec4a1dc2b8
AI1,200,2896.47,24ec4a1dc2b8
AI2,200,2524.64,24ec4a1dc2b8
AI3,200,2549.17,24ec4a1dc2b8
AI4,200,2569.02,24ec4a1dc2b8
AI5,200,2589.4,24ec4a1dc2b8
AI6,200,2583.63,24ec4a1dc2b8
AI7,200,2911.44,24ec4a1dc2b8
AI0,500,2896.81,24ec4a1dc2b8
AI1,500,2894.23,24ec4a1dc2b8
AI2,500,2553.47,24ec4a1dc2b8
AI3,500,2554.17,24ec4a1dc2b8
AI4,500,2569.3,24ec4a1dc2b8
AI5,500,2551.6,24ec4a1dc2b8
AI6,500,2564.11,24ec4a1dc2b8
AI7,500,2883.24,24ec4a1dc2b8
AI0,1000,2892.48,24ec4a1dc2b8
AI1,1000,2894.91,24ec4a1dc2b8
AI2,1000,2564.97,24ec4a1dc2b8
AI3,1000,2564.9,24ec4a1dc2b8
AI4,1000,2565.43,24ec4a1dc2b8
AI5,1000,2568.51,24ec4a1dc2b8
AI6,1000,2571.79,24ec4a1dc2b8
AI7,1000,2884.56,24ec4a1dc2b8
AI0,2000,2897.29,24ec4a1dc2b8
AI1,2000,2899.15,24ec4a1dc2b8
AI2,2000,2560.52,24ec4a1dc2b8
AI3,2000,2567.47,24ec4a1dc2b8
AI4,2000,2567.29,24ec4a1dc2b8
AI5,2000,2568.08,24ec4a1dc2b8
AI6,2000,2576.31,24ec4a1dc2b8
AI7,2000,2889.06,24ec4a1dc2b8
AI0,1,2800.0,24ec4a1dc2b8
AI1,1,2800.0,24ec4a1dc2b8
AI2,1,2800.0,24ec4a1dc2b8
AI3,1,2839.0,24ec4a1dc2b8
AI4,1,2383.0,24ec4a1dc2b8
AI5,1,2601.0,24ec4a1dc2b8
AI6,1,2442.0,24ec4a1dc2b8
AI7,1,3058.0,24ec4a1dc2b8
AI0,10,2948.5,24ec4a1dc2b8
AI1,10,2839.3,24ec4a1dc2b8
AI2,10,2634.6,24ec4a1dc2b8
AI3,10,2537.4,24ec4a1dc2b8
AI4,10,2547.4,24ec4a1dc2b8
AI5,10,2497.8,24ec4a1dc2b8
AI6,10,2557.3,24ec4a1dc2b8
AI7,10,2879.0,24ec4a1dc2b8
AI0,20,2893.0,24ec4a1dc2b8
AI1,20,2913.9,24ec4a1dc2b8
AI2,20,2625.85,24ec4a1dc2b8
AI3,20,2544.5,24ec4a1dc2b8
AI4,20,2570.25,24ec4a1dc2b8
AI5,20,2544.4,24ec4a1dc2b8
AI6,20,2535.55,24ec4a1dc2b8
AI7,20,2847.25,24ec4a1dc2b8
AI0,50,2889.78,24ec4a1dc2b8
AI1,50,2902.94,24ec4a1dc2b8
AI2,50,2522.44,24ec4a1dc2b8
AI3,50,2562.5,24ec4a1dc2b8
AI4,50,2533.5,24ec4a1dc2b8
AI5,50,2583.96,24ec4a1dc2b8
AI6,50,2541.88,24ec4a1dc2b8
AI7,50,2871.54,24ec4a1dc2b8
AI0,100,2904.54,24ec4a1dc2b8
AI1,100,2886.82,24ec4a1dc2b8
AI2,100,2531.92,24ec4a1dc2b8
AI3,100,2563.04,24ec4a1dc2b8
AI4,100,2569.03,24ec4a1dc2b8
AI5,100,2592.87,24ec4a1dc2b8
AI6,100,2554.78,24ec4a1dc2b8
AI7,100,2883.47,24ec4a1dc2b8
AI0,200,2904.61,24ec4a1dc2b8
AI1,200,2894.07,24ec4a1dc2b8
AI2,200,2560.63,24ec4a1dc2b8
AI3,200,2563.39,24ec4a1dc2b8
AI4,200,2563.97,24ec4a1dc2b8
AI5,200,2572.11,24ec4a1dc2b8
AI6,200,2558.44,24ec4a1dc2b8
AI7,200,2897.84,24ec4a1dc2b8
AI0,500,2889.06,24ec4a1dc2b8
AI1,500,2900.16,24ec4a1dc2b8
AI2,500,2551.23,24ec4a1dc2b8
AI3,500,2561.94,24ec4a1dc2b8
AI4,500,2555.03,24ec4a1dc2b8
AI5,500,2566.13,24ec4a1dc2b8
AI6,500,2548.16,24ec4a1dc2b8
AI7,500,2885.9,24ec4a1dc2b8
AI0,1000,2902.24,24ec4a1dc2b8
AI1,1000,2892.92,24ec4a1dc2b8
AI2,1000,2555.47,24ec4a1dc2b8
AI3,1000,2568.62,24ec4a1dc2b8
AI4,1000,2565.67,24ec4a1dc2b8
AI5,1000,2560.28,24ec4a1dc2b8
AI6,1000,2566.45,24ec4a1dc2b8
AI7,1000,2896.03,24ec4a1dc2b8
AI0,2000,2898.49,24ec4a1dc2b8
AI1,2000,2897.36,24ec4a1dc2b8
AI2,2000,2563.68,24ec4a1dc2b8
AI3,2000,2576.36,24ec4a1dc2b8
AI4,2000,2572.7,24ec4a1dc2b8
AI5,2000,2569.53,24ec4a1dc2b8
AI6,2000,2564.35,24ec4a1dc2b8
AI7,2000,2897.65,24ec4a1dc2b8
AI0,1,2879.0,24ec4a1dc2b8
AI1,1,2959.0,24ec4a1dc2b8
AI2,1,1985.0,24ec4a1dc2b8
AI3,1,2720.0,24ec4a1dc2b8
AI4,1,2442.0,24ec4a1dc2b8
AI5,1,2541.0,24ec4a1dc2b8
AI6,1,2661.0,24ec4a1dc2b8
AI7,1,2680.0,24ec4a1dc2b8
AI0,10,2891.0,24ec4a1dc2b8
AI1,10,2918.8,24ec4a1dc2b8
AI2,10,2575.1,24ec4a1dc2b8
AI3,10,2642.6,24ec4a1dc2b8
AI4,10,2609.0,24ec4a1dc2b8
AI5,10,2571.2,24ec4a1dc2b8
AI6,10,2620.8,24ec4a1dc2b8
AI7,10,2807.7,24ec4a1dc2b8
AI0,20,2905.95,24ec4a1dc2b8
AI1,20,2904.75,24ec4a1dc2b8
AI2,20,2474.9,24ec4a1dc2b8
AI3,20,2564.25,24ec4a1dc2b8
AI4,20,2551.4,24ec4a1dc2b8
AI5,20,2551.4,24ec4a1dc2b8
AI6,20,2546.4,24ec4a1dc2b8
AI7,20,2935.65,24ec4a1dc2b8
AI0,50,2875.86,24ec4a1dc2b8
AI1,50,2898.16,24ec4a1dc2b8
AI2,50,2518.48,24ec4a1dc2b8
AI3,50,2553.36,24ec4a1dc2b8
AI4,50,2541.46,24ec4a1dc2b8
AI5,50,2604.98,24ec4a1dc2b8
AI6,50,2566.88,24ec4a1dc2b8
AI7,50,2890.62,24ec4a1dc2b8
AI0,100,2888.22,24ec4a1dc2b8
AI1,100,2900.99,24ec4a1dc2b8
AI2,100,2543.59,24ec4a1dc2b8
AI3,100,2548.61,24ec4a1dc2b8
AI4,100,2598.04,24ec4a1dc2b8
AI5,100,2553.56,24ec4a1dc2b8
AI6,100,2554.35,24ec4a1dc2b8
AI7,100,2877.32,24ec4a1dc2b8
AI0,200,2885.25,24ec4a1dc2b8
AI1,200,2905.7,24ec4a1dc2b8
AI2,200,2567.28,24ec4a1dc2b8
AI3,200,2544.66,24ec4a1dc2b8
AI4,200,2567.34,24ec4a1dc2b8
AI5,200,2555.37,24ec4a1dc2b8
AI6,200,2569.64,24ec4a1dc2b8
AI7,200,2887.29,24ec4a1dc2b8
AI0,500,2888.28,24ec4a1dc2b8
AI1,500,2893.31,24ec4a1dc2b8
AI2,500,2561.17,24ec4a1dc2b8
AI3,500,2575.94,24ec4a1dc2b8
AI4,500,2570.05,24ec4a1dc2b8
AI5,500,2581.29,24ec4a1dc2b8
AI6,500,2586.35,24ec4a1dc2b8
AI7,500,2888.63,24ec4a1dc2b8
AI0,1000,2899.33,24ec4a1dc2b8
AI1,1000,2897.44,24ec4a1dc2b8
AI2,1000,2558.6,24ec4a1dc2b8
AI3,1000,2572.41,24ec4a1dc2b8
AI4,1000,2558.95,24ec4a1dc2b8
AI5,1000,2558.62,24ec4a1dc2b8
AI6,1000,2577.57,24ec4a1dc2b8
AI7,1000,2890.06,24ec4a1dc2b8
AI0,2000,2892.24,24ec4a1dc2b8
AI1,2000,2896.92,24ec4a1dc2b8
AI2,2000,2552.57,24ec4a1dc2b8
AI3,2000,2567.23,24ec4a1dc2b8
AI4,2000,2565.81,24ec4a1dc2b8
AI5,2000,2566.66,24ec4a1dc2b8
AI6,2000,2574.73,24ec4a1dc2b8
AI7,2000,2893.05,24ec4a1dc2b8
AI0,1,2879.0,24ec4a1dc2b8
AI1,1,2899.0,24ec4a1dc2b8
AI2,1,2641.0,24ec4a1dc2b8
AI3,1,2522.0,24ec4a1dc2b8
AI4,1,2581.0,24ec4a1dc2b8
AI5,1,2522.0,24ec4a1dc2b8
AI6,1,2581.0,24ec4a1dc2b8
AI7,1,2939.0,24ec4a1dc2b8
AI0,10,2863.1,24ec4a1dc2b8
AI1,10,2903.1,24ec4a1dc2b8
AI2,10,2573.1,24ec4a1dc2b8
AI3,10,2553.4,24ec4a1dc2b8
AI4,10,2446.2,24ec4a1dc2b8
AI5,10,2509.8,24ec4a1dc2b8
AI6,10,2597.1,24ec4a1dc2b8
AI7,10,2851.2,24ec4a1dc2b8
AI0,20,2883.95,24ec4a1dc2b8
AI1,20,2927.75,24ec4a1dc2b8
AI2,20,2628.85,24ec4a1dc2b8
AI3,20,2562.35,24ec4a1dc2b8
AI4,20,2559.25,24ec4a1dc2b8
AI5,20,2591.1,24ec4a1dc2b8
AI6,20,2607.95,24ec4a1dc2b8
AI7,20,2898.0,24ec4a1dc2b8
AI0,50,2850.5,24ec4a1dc2b8
AI1,50,2881.06,24ec4a1dc2b8
AI2,50,2547.4,24ec4a1dc2b8
AI3,50,2529.5,24ec4a1dc2b8
AI4,50,2541.4,24ec4a1dc2b8
AI5,50,2536.72,24ec4a1dc2b8
AI6,50,2562.08,24ec4a1dc2b8
AI7,50,2881.44,24ec4a1dc2b8
AI0,100,2857.17,24ec4a1dc2b8
AI1,100,2915.26,24ec4a1dc2b8
AI2,100,2577.79,24ec4a1dc2b8
AI3,100,2608.17,24ec4a1dc2b8
AI4,100,2539.82,24ec4a1dc2b8
AI5,100,2577.45,24ec4a1dc2b8
AI6,100,2553.81,24ec4a1dc2b8
AI7,100,2898.94,24ec4a1dc2b8
AI0,200,2893.57,24ec4a1dc2b8
AI1,200,2882.75,24ec4a1dc2b8
AI2,200,2578.88,24ec4a1dc2b8
AI3,200,2564.36,24ec4a1dc2b8
AI4,200,2591.32,24ec4a1dc2b8
AI5,200,2589.82,24ec4a1dc2b8
AI6,200,2566.56,24ec4a1dc2b8
AI7,200,2890.3,24ec4a1dc2b8
AI0,500,2890.24,24ec4a1dc2b8
AI1,500,2894.03,24ec4a1dc2b8
AI2,500,2565.89,24ec4a1dc2b8
AI3,500,2578.83,24ec4a1dc2b8
AI4,500,2568.96,24ec4a1dc2b8
AI5,500,2579.5,24ec4a1dc2b8
AI6,500,2569.06,24ec4a1dc2b8
AI7,500,2892.5,24ec4a1dc2b8
AI0,1000,2883.42,24ec4a1dc2b8
AI1,1000,2896.12,24ec4a1dc2b8
