QTPy channel,Samples averaged,ADC code,QTPy identifier
AI0,1,0.0,24ec4a1dc2b8
AI1,1,0.0,24ec4a1dc2b8
AI2,1,0.0,24ec4a1dc2b8
AI3,1,0.0,24ec4a1dc2b8
AI4,1,0.0,24ec4a1dc2b8
AI5,1,0.0,24ec4a1dc2b8
AI6,1,0.0,24ec4a1dc2b8
AI7,1,0.0,24ec4a1dc2b8
AI0,10,5.9,24ec4a1dc2b8
AI1,10,0.0,24ec4a1dc2b8
AI2,10,0.0,24ec4a1dc2b8
AI3,10,0.0,24ec4a1dc2b8
AI4,10,0.0,24ec4a1dc2b8
AI5,10,0.0,24ec4a1dc2b8
AI6,10,0.0,24ec4a1dc2b8
AI7,10,7.9,24ec4a1dc2b8
AI0,20,0.0,24ec4a1dc2b8
AI1,20,0.95,24ec4a1dc2b8
AI2,20,0.0,24ec4a1dc2b8
AI3,20,0.0,24ec4a1dc2b8
AI4,20,0.0,24ec4a1dc2b8
AI5,20,0.0,24ec4a1dc2b8
AI6,20,0.0,24ec4a1dc2b8
AI7,20,0.0,24ec4a1dc2b8
AI0,50,0.0,24ec4a1dc2b8
AI1,50,0.0,24ec4a1dc2b8
AI2,50,0.0,24ec4a1dc2b8
AI3,50,0.78,24ec4a1dc2b8
AI4,50,0.0,24ec4a1dc2b8
AI5,50,0.0,24ec4a1dc2b8
AI6,50,0.0,24ec4a1dc2b8
AI7,50,0.0,24ec4a1dc2b8
AI0,100,0.39,24ec4a1dc2b8
AI1,100,0.39,24ec4a1dc2b8
AI2,100,0.0,24ec4a1dc2b8
AI3,100,0.0,24ec4a1dc2b8
AI4,100,0.0,24ec4a1dc2b8
AI5,100,0.19,24ec4a1dc2b8
AI6,100,0.0,24ec4a1dc2b8
AI7,100,0.0,24ec4a1dc2b8
AI0,200,0.58,24ec4a1dc2b8
AI1,200,0.095,24ec4a1dc2b8
AI2,200,0.095,24ec4a1dc2b8
AI3,200,0.095,24ec4a1dc2b8
AI4,200,0.0,24ec4a1dc2b8
AI5,200,0.0,24ec4a1dc2b8
AI6,200,0.095,24ec4a1dc2b8
AI7,200,0.385,24ec4a1dc2b8
AI0,500,0.156,24ec4a1dc2b8
AI1,500,0.156,24ec4a1dc2b8
AI2,500,0.0,24ec4a1dc2b8
AI3,500,0.118,24ec4a1dc2b8
AI4,500,0.118,24ec4a1dc2b8
AI5,500,0.078,24ec4a1dc2b8
AI6,500,0.238,24ec4a1dc2b8
AI7,500,0.55,24ec4a1dc2b8
AI0,1000,0.425,24ec4a1dc2b8
AI1,1000,0.134,24ec4a1dc2b8
AI2,1000,0.019,24ec4a1dc2b8
AI3,1000,0.038,24ec4a1dc2b8
AI4,1000,0.097,24ec4a1dc2b8
AI5,1000,0.294,24ec4a1dc2b8
AI6,1000,0.193,24ec4a1dc2b8
AI7,1000,0.233,24ec4a1dc2b8
AI0,2000,0.1925,24ec4a1dc2b8
AI1,2000,0.357,24ec4a1dc2b8
AI2,2000,0.1455,24ec4a1dc2b8
AI3,2000,0.1955,24ec4a1dc2b8
AI4,2000,0.226,24ec4a1dc2b8
AI5,2000,0.2355,24ec4a1dc2b8
AI6,2000,0.2255,24ec4a1dc2b8
AI7,2000,0.3325,24ec4a1dc2b8
AI0,1,0.0,24ec4a1dc2b8
AI1,1,0.0,24ec4a1dc2b8
AI2,1,0.0,24ec4a1dc2b8
AI3,1,0.0,24ec4a1dc2b8
AI4,1,0.0,24ec4a1dc2b8
AI5,1,0.0,24ec4a1dc2b8
AI6,1,0.0,24ec4a1dc2b8
AI7,1,0.0,24ec4a1dc2b8
AI0,10,0.0,24ec4a1dc2b8
AI1,10,0.0,24ec4a1dc2b8
AI2,10,0.0,24ec4a1dc2b8
AI3,10,0.0,24ec4a1dc2b8
AI4,10,0.0,24ec4a1dc2b8
AI5,10,0.0,24ec4a1dc2b8
AI6,10,0.0,24ec4a1dc2b8
AI7,10,0.0,24ec4a1dc2b8
AI0,20,0.0,24ec4a1dc2b8
AI1,20,0.0,24ec4a1dc2b8
AI2,20,0.0,24ec4a1dc2b8
AI3,20,0.0,24ec4a1dc2b8
AI4,20,0.0,24ec4a1dc2b8
